Date,Open,High,Low,Close,Adj Close,Volume,RSI_14,MA_9,MA_21,MA_51,MACD,MACD_Signal,MACD_Hist
2015-03-17,208.066666,210.333328,206.699997,209.466660,125.061394,3799833,39.373858,125.278103,127.960391,134.454150,-3.116296,-3.121765,0.005469
2015-03-18,210.000000,210.300003,205.333328,206.133331,123.071243,4852030,35.327031,124.776143,127.385142,134.182162,-3.128039,-3.123020,-0.005019
2015-03-19,206.600006,209.266663,206.133331,207.933334,124.145920,5367529,38.974524,124.420125,126.844008,133.891052,-3.015863,-3.101589,0.085725
2015-03-20,208.133331,208.666672,205.600006,207.566666,123.926994,4793802,38.498186,124.214475,126.441237,133.564823,-2.911072,-3.063485,0.152414
2015-03-23,207.333328,210.233337,207.233337,209.600006,125.141014,4589812,42.681705,124.214475,126.080166,133.418488,-2.698950,-2.990578,0.291628
2015-03-24,207.066666,210.000000,206.000000,208.933334,126.350479,3764554,46.580294,124.565565,125.828812,133.257626,-2.405520,-2.873567,0.468047
2015-03-25,210.433334,210.966660,205.800003,206.433334,124.838631,4139605,42.673075,124.629265,125.616345,133.037853,-2.268814,-2.752616,0.483802
2015-03-26,207.333328,207.600006,199.199997,201.066666,121.593208,11858041,35.742113,124.257178,125.435084,132.682643,-2.394747,-2.681042,0.286295
2015-03-27,201.966660,205.566666,200.933334,203.300003,122.943787,5891944,40.102093,124.119186,125.278332,132.379669,-2.358383,-2.616510,0.258127
2015-03-30,203.333328,211.600006,202.566666,210.133331,127.076172,6601768,51.046813,124.343050,125.276662,132.218207,-1.973368,-2.487882,0.514514
2015-03-31,210.633331,213.066666,203.000000,204.233337,123.508186,6853342,43.633388,124.391599,125.002735,131.954787,-1.933855,-2.377077,0.443221
2015-04-01,204.666672,206.166672,203.666672,204.300003,123.548523,3321565,43.732875,124.325222,124.819813,131.673036,-1.877642,-2.277190,0.399548
2015-04-06,205.399994,212.166672,205.333328,211.500000,127.902657,5556453,53.312193,124.766962,124.835702,131.471979,-1.464864,-2.114725,0.649860
2015-04-07,213.333328,213.666672,210.000000,212.666672,128.608170,3490815,54.659161,125.152201,124.884239,131.281633,-1.068489,-1.905477,0.836989
2015-04-08,212.666672,212.666672,207.933334,208.666672,126.189224,5976249,49.397043,125.134284,124.828961,131.022004,-0.938726,-1.712127,0.773401
2015-04-09,209.666672,210.533340,205.666672,206.766663,125.040192,5713269,47.078520,125.156680,124.793834,130.773013,-0.918023,-1.553306,0.635283
2015-04-10,206.800003,210.533340,206.100006,206.500000,124.878944,8693394,46.746925,125.521762,124.781355,130.467401,-0.904204,-1.423486,0.519282
2015-04-13,209.000000,209.000000,206.733337,207.899994,125.725578,2797114,48.786582,125.830850,124.902065,130.210387,-0.815535,-1.301896,0.486360
2015-04-15,208.533340,215.133331,207.666672,211.433334,127.862350,9083739,53.615326,125.918203,125.073351,129.983954,-0.566317,-1.154780,0.588463
2015-04-16,212.399994,219.166672,212.333328,218.433334,132.095551,9836785,61.383495,126.872354,125.413997,129.812039,-0.026915,-0.929207,0.902292
2015-04-17,219.666672,221.899994,218.666672,220.000000,133.042953,6401871,62.881738,127.927291,125.835770,129.674309,0.471576,-0.649051,1.120626
2015-04-20,219.899994,221.933334,210.800003,214.533340,129.737045,4536202,54.880323,128.131112,126.058420,129.476050,0.593038,-0.400633,0.993671
2015-04-21,215.066666,218.266663,212.199997,213.566666,129.152481,4822603,53.581986,128.191591,126.348003,129.278036,0.634811,-0.193544,0.828355
2015-04-22,214.033340,215.899994,206.366669,208.199997,125.907036,7356646,46.942111,128.160237,126.431866,128.941462,0.401409,-0.074553,0.475962
2015-04-23,210.000000,210.266663,204.533340,205.300003,124.153282,5199051,43.784623,128.061691,126.442641,128.499480,0.074069,-0.044829,0.118898
2015-04-24,206.666672,212.600006,205.100006,211.233337,127.741409,7401441,51.040647,128.379743,126.566469,128.220727,0.102994,-0.015264,0.118258
2015-04-27,211.966660,211.966660,205.399994,206.233337,124.717720,3309372,45.688760,128.267759,126.488719,127.926781,-0.116724,-0.035556,-0.081167
2015-04-28,206.000000,209.066666,202.699997,205.033340,123.991951,5021299,44.483081,127.837714,126.448401,127.576851,-0.345433,-0.097532,-0.247901
2015-04-29,205.033340,206.366669,202.733337,204.199997,123.488045,4445740,43.622350,126.881325,126.538631,127.230308,-0.560882,-0.190202,-0.370680
2015-04-30,204.566666,205.866669,202.066666,202.666672,122.560776,9699340,42.011407,125.716638,126.520393,126.941287,-0.797260,-0.311613,-0.485646
2015-05-04,204.066666,220.333328,204.066666,218.899994,132.377731,16873108,59.192952,126.010048,126.772848,126.833049,-0.190251,-0.287341,0.097090
2015-05-05,220.666672,228.800003,219.000000,228.100006,137.941345,24530452,65.442234,126.986588,127.460141,126.887752,0.731314,-0.083610,0.814924
2015-05-06,226.399994,227.199997,216.733337,218.600006,132.196304,10301064,55.919174,127.685396,127.871940,126.822783,0.986711,0.130454,0.856256
2015-05-07,220.000000,220.866669,211.000000,213.366669,129.031525,5843113,51.475388,128.227423,127.925696,126.757024,0.923102,0.288984,0.634118
2015-05-08,213.966660,216.266663,209.233337,210.333328,127.197098,6429162,49.042583,128.166944,127.858502,126.648664,0.716410,0.374469,0.341941
2015-05-11,211.266663,213.866669,210.033340,212.666672,128.608170,5431555,50.962445,128.599216,127.973690,126.589433,0.658872,0.431350,0.227523
2015-05-12,213.399994,213.633331,204.800003,206.433334,124.838631,4464550,45.978833,128.693292,127.964092,126.501947,0.305580,0.406196,-0.100616
2015-05-13,208.100006,211.800003,205.666672,207.399994,125.423210,5646844,46.846918,128.908310,127.990009,126.502408,0.071935,0.339344,-0.267409
2015-05-14,208.066666,211.333328,206.100006,210.766663,127.459175,4257052,49.868410,129.452577,128.072561,126.526400,0.050473,0.281570,-0.231096
2015-05-15,210.600006,213.133331,208.333328,212.600006,128.567871,3325147,51.485705,129.029259,128.106158,126.554961,0.121526,0.249561,-0.128035
2015-05-18,213.533340,216.399994,213.100006,214.500000,129.716888,4586017,53.171809,128.115430,127.992888,126.563907,0.267469,0.253142,0.014326
2015-05-19,212.899994,214.199997,210.366669,211.733337,128.043777,4366932,50.423711,127.654038,127.754832,126.576729,0.245296,0.251573,-0.006277
2015-05-20,211.333328,212.833328,209.333328,209.699997,126.814095,3059541,48.442064,127.407657,127.615644,126.561927,0.127034,0.226665,-0.099631
2015-05-21,210.933334,212.633331,209.600006,212.199997,128.325943,3139372,50.992162,127.533084,127.576285,126.576379,0.153535,0.212039,-0.058505
2015-05-22,215.666672,216.666672,212.800003,215.366669,130.240982,3893322,54.089760,127.714508,127.782663,126.633063,0.325314,0.234694,0.090620
2015-05-25,216.000000,220.500000,215.466660,219.699997,132.861542,5574003,58.001701,128.605943,128.197342,126.771959,0.665239,0.320803,0.344436
2015-05-26,220.000000,220.566666,214.333328,215.000000,130.019257,2979945,52.751501,129.116614,128.305811,126.867611,0.697246,0.396092,0.301155
